1000 2500
677 895 93
640 693 73
590 787 61
183 203 7
3 609 8
32 165 77
126 645 64
177 237 93
238 535 24
774 791 14
449 473 69
361 788 50
531 903 97
203 214 33
900 986 44
400 773 83
342 672 97
326 558 67
238 828 78
352 672 22
542 645 3
282 538 26
302 932 37
68 241 85
16 407 3
374 853 27
73 91 88
56 146 94
468 618 2
520 613 3
280 714 89
613 776 91
725 787 32
418 839 52
555 873 57
519 722 48
795 944 58
177 471 74
452 642 55
697 777 99
365 651 75
13 665 90
488 779 13
453 910 81
189 781 70
163 503 60
84 143 57
448 1000 67
32 727 55
199 259 16
510 527 94
562 773 84
21 811 75
752 982 22
749 764 50
76 272 34
386 559 2
756 783 34
595 596 20
637 678 41
361 894 83
34 162 21
753 912 36
486 782 70
721 804 23
261 830 7
613 937 14
12 621 11
140 336 85
20 413 93
11 920 37
89 246 65
507 758 51
57 912 44
422 850 77
459 619 13
112 163 20
358 384 43
160 391 72
128 710 18
364 991 13
274 956 19
10 662 33
63 96 97
411 707 22
29 48 15
12 405 15
658 982 63
109 482 80
552 674 89
41 1000 23
206 600 77
172 211 76
191 268 34
359 926 72
450 918 97
287 674 16
2 408 29
63 743 38
287 996 97
540 834 35
709 821 66
14 463 87
548 660 7
698 812 21
57 87 61
347 800 67
829 945 81
812 878 88
178 709 22
241 986 65
111 381 75
297 639 75
390 716 73
564 708 61
341 589 96
674 817 83
70 915 75
219 954 3
73 539 8
19 124 34
607 978 43
614 732 77
465 903 72
744 917 10
563 642 99
356 475 95
286 843 34
587 826 26
255 727 59
624 884 82
665 744 50
792 992 9
285 685 81
653 993 39
454 843 24
242 731 33
117 254 92
177 185 47
34 888 80
71 541 20
96 673 42
542 698 50
101 229 54
764 939 82
148 832 42
566 827 44
615 618 70
209 535 15
62 947 20
653 905 36
99 965 32
472 650 55
370 396 54
738 905 38
293 370 58
698 830 99
461 511 48
156 275 75
549 799 2
766 981 64
402 546 69
78 135 56
373 931 77
11 823 48
859 926 68
489 927 2
241 411 63
61 198 90
190 428 4
62 609 56
655 930 37
33 867 93
920 953 3
542 570 26
415 480 100
163 174 61
280 978 73
713 855 14
112 448 55
356 704 99
766 909 56
34 48 46
272 741 94
256 916 4
540 823 38
85 158 23
220 493 68
324 552 43
181 502 24
202 947 31
133 627 7
