100 200
23 51 14
55 94 65
14 74 42
26 97 33
81 93 53
58 74 56
34 79 51
19 66 44
2 22 25
9 62 47
6 54 51
35 58 31
16 50 94
39 98 67
28 88 92
54 67 79
12 64 38
15 30 16
21 34 14
20 30 3
10 18 76
49 98 11
10 27 48
23 95 69
3 23 22
74 83 100
12 69 84
6 88 48
29 99 59
59 72 21
74 96 14
16 19 17
64 72 31
30 39 100
8 57 12
58 88 89
31 38 14
22 66 47
18 76 86
1 12 94
2 11 4
75 93 58
84 92 16
35 92 71
19 96 67
43 57 19
23 56 39
33 99 76
47 87 58
68 72 7
8 75 91
55 97 78
79 95 76
1 42 34
45 87 75
86 97 76
33 79 45
68 95 49
17 68 58
55 89 21
6 83 26
16 52 92
25 30 37
23 63 51
2 85 54
75 83 22
6 55 35
48 85 69
38 90 49
12 41 50
8 25 79
22 52 64
28 68 81
63 100 63
51 100 100
42 89 98
4 58 10
20 71 43
21 80 37
29 46 71
35 44 18
8 69 58
13 85 18
37 40 36
37 99 46
56 82 77
20 99 92
1 58 51
7 8 37
47 62 54
24 60 65
28 47 58
67 93 8
64 73 93
78 79 58
62 82 58
10 99 34
41 89 91
11 39 65
34 43 31
4 27 34
19 37 1
17 73 37
10 87 70
5 23 76
69 72 67
41 71 9
67 88 59
72 78 17
43 68 31
24 71 3
8 76 17
27 76 78
24 47 51
1 97 41
3 16 42
2 56 85
43 50 18
73 94 72
7 38 14
40 90 85
12 72 12
42 69 19
77 99 82
14 57 22
12 15 46
27 70 11
54 80 32
8 73 55
63 67 87
3 71 18
18 94 46
1 62 48
25 41 83
22 53 29
70 83 19
12 66 89
2 61 88
32 53 59
32 56 99
22 47 37
40 88 17
17 21 6
38 66 75
5 58 87
60 96 81
50 63 17
83 87 71
68 94 83
85 88 21
20 55 84
60 94 74
3 87 78
97 100 30
19 88 56
58 62 67
64 74 61
52 82 34
2 35 12
6 47 57
12 33 75
11 43 86
1 55 71
7 59 62
65 80 3
27 51 41
10 89 95
40 94 95
67 74 23
9 94 90
42 73 22
48 52 50
11 79 38
44 60 15
41 46 7
9 98 51
85 97 100
54 70 80
20 41 70
9 68 62
8 17 85
15 88 22
17 31 90
62 71 4
9 89 93
66 81 23
15 23 67
48 70 60
61 92 36
11 17 99
44 65 67
25 68 26
40 44 55
44 73 80
33 81 100
72 95 24
25 59 8
3 70 62
80 84 44
69 97 31
