10000 25000
6970 9059 31
1238 9214 3
7100 9183 100
3875 6122 15
988 2754 68
5238 6962 89
673 1670 23
1319 3551 74
6601 7908 69
960 6142 7
6083 9819 68
4746 7689 20
1306 3918 74
1634 5826 77
3445 3916 65
2062 8795 36
2858 7675 96
4826 5412 68
196 6386 7
685 2526 53
390 6223 97
2322 7640 87
1744 9524 81
104 4277 11
2978 7220 60
3073 7046 94
1302 6278 47
2854 9713 32
2087 4666 88
5397 5692 85
7664 8168 68
1820 7158 57
751 3335 98
5296 8306 4
6112 8692 19
772 8206 72
1399 8876 51
5330 9908 20
1707 7454 36
1039 6464 59
706 8768 40
6428 9307 70
1370 8436 7
2450 9125 68
3733 3927 69
5296 6939 91
3632 7748 88
7040 8571 71
3850 5988 47
1889 4261 81
762 2038 35
2040 6905 32
5115 8708 95
7529 8132 49
3448 4160 61
4050 7874 80
8981 9405 74
1467 8107 13
2125 7816 53
630 2411 51
5740 6876 72
8711 8872 35
4425 7980 3
6 7026 18
1118 8533 24
910 2238 14
526 7398 27
9248 9905 51
3163 6366 61
5924 8525 82
3259 4871 4
1619 9346 23
3282 5276 9
1934 5469 51
1398 2489 3
3962 6241 65
1436 7184 45
1910 4464 34
6337 8200 47
4555 6894 78
115 695 67
4 436 91
5143 9113 49
2122 3237 55
1405 2760 22
4757 5179 34
2414 7065 5
695 9534 73
1898 7950 47
2642 8350 54
1544 3416 79
4113 6567 30
105 7296 80
6850 7686 4
2833 6407 86
5232 7709 97
9008 9826 40
1667 7047 22
3838 5037 58
2897 9385 80
1397 8121 49
4427 7237 1
6061 7556 58
2995 8750 91
7135 9814 51
1910 7965 66
3415 5153 49
5566 8661 30
1814 6287 21
6648 6778 82
7711 8141 24
7384 9538 41
4429 9641 58
3995 5070 13
8549 8785 19
746 3590 38
2934 8015 74
9125 9562 58
3211 3576 19
1231 4654 18
6360 8578 15
2307 7032 75
1520 9195 17
5481 7771 72
2877 8658 63
1780 6198 14
6506 6740 63
682 2940 46
5185 8483 22
7690 8460 94
2456 2649 35
8455 9566 40
2425 4629 95
1673 9062 44
1816 6209 64
3311 7847 89
1916 4971 18
7647 8338 11
9161 9322 5
2186 5614 67
2704 6036 27
4494 6531 19
1879 3889 53
4663 8727 81
3278 9763 36
3820 3843 61
3306 9026 43
8073 9222 66
3812 7643 92
6758 8099 84
6734 9665 52
2249 9894 73
899 8578 99
521 891 57
3154 4268 33
4504 6146 60
4801 5948 19
1403 7721 56
5804 7401 95
4140 9186 82
6857 9582 50
2803 5744 93
1140 4583 15
8583 8633 43
1569 5594 79
7798 7817 52
6439 7042 42
9306 9877 70
1448 7531 75
6831 8031 6
4754 9008 7
149 9338 38
5823 7970 62
4268 8724 25
2623 8775 27
6792 9152 24
4050 6931 81
1276 5376 50
2441 9400 89
513 5054 19
394 8798 24
1345 4694 67
2142 5783 94
3579 8787 58
741 6170 32
4865 5035 72
3685 8236 50
2034 4810 11
7765 9545 87
3504 3744 34
4475 8008 99
125 8261 85
6210 7920 46
4444 7390 94
7540 7967 64
110 1141 77
3404 8584 37
68 1577 94
3280 5309 72
1696 4914 10
2731 5408 94
8132 9143 7
2549 5957 54
847 8495 4
4433 5427 25
4466 6574 11
2535 3723 10
534 4655 91
1737 3516 35
4707 9909 4
4587 9561 57
507 2204 41
3688 9054 72
2548 9205 86
28 9173 29
1855 6390 31
2202 2833 78
7718 8054 85
21 583 63
2468 4833 83
4481 6132 15
300 1538 54
7271 9489 68
2034 9078 63
779 2251 95
5720 9703 99
451 4318 35
4446 5227 94
950 7339 2
451 7995 36
3821 9057 89
3900 7108 31
4843 5175 54
3826 5872 53
